S.No,Course Name,Timing
786,STATISTICAL PHYSICS-PYL202,TThF 11:00-12:00
787,COMPUTATIONAL PHYSICS-PYL204,MTh 09:30-11:00
788,MATHEMATICAL PHYSICS-II-PYL206,TWF 08:00-09:00
789,SOLID STATE PHYSICS II-PYL208,TWF 09:00-10:00
790,VACUUM TECHNOLO. & SURFACE SC.-PYL301,MTF 12:00-13:00
791,NUCLEAR SCIENCE & ENGINEERING-PYL302,"W 12:00-13:00 ,TF 17:00-18:00"
792,ELECTRODYNAMICS-PYL552,TWF 10:00-11:00
793,QUANTUM MECHANICS II-PYL556,MTh 08:00-09:30
794,STATISTICAL MECHANICS-PYL558,TWF 09:00-10:00
795,APPLIED OPTICS-PYL560,TThF 11:00-12:00
796,SOLID STATE PHYSICS-PYL563,MTh 09:30-11:00
797,SEMICONDUCTOR ELECTRONICS-PYL653,MTF 12:00-13:00
798,SC. & TECHNOLOGY OF THIN FILMS-PYL704,MTh 08:00-09:30
799,NANOSTRUCTURED MATERIALS-PYL705,"W 12:00-13:00 ,TF 17:00-"18:00
800,CHARACTERISATION TEC. FOR MAT.-PYL707,TWF 09:00-10:00
801,ADVANCES IN SPINTRONICS-PYL724,"MW 11:00-12:00 ,Th 12:00-13:00"
802,SEMICONDUCTOR DEVICE TECHNOLOGY-PYL726,TWF 08:00-09:00
803,ENERGY MATERIALS AND DEVICES-PYL727,TThF 11:00-12:00
804,COMP. TE. FOR SOLID STATE MAT.-PYL739,"W 12:00-13:00 ,TF 17:00-18:00"
805,GEN. RELATIVITY & INTRO. ASTR.-PYL742,"MW 11:00-12:00 ,Th 12:00-13:00"
806,GROUP THEORY & ITS APPLICATION-PYL743,MTh 08:00-09:30
807,HIGH ENERGY PHYSICS-PYL744,MTF 12:00-13:00
808,QUANTUM OPTICS-PYL748,TWF 10:00-11:00
809,LASER SYSTEMS AND APPLICATIONS-PYL752,TWF 09:00-10:00
810,FOURIER OPTICS AND HOLOGRAPHY-PYL756,MTF 12:00-13:00
811,STATISTICAL & QUANTUM OPTICS-PYL757,"W 12:00-13:00 ,TF 17:00-18:00"
812,BIOMEDICAL OPTICS & BIO-PHOTO.-PYL760,"MW 11:00-12:00 ,Th 12:00-13:00"
813,OPTICAL ELECTRONICS-PYL792,MTh 09:30-11:00
814,NUM. & COMP. METH. IN RESEARCH-PYL800,"MW 11:00-12:00 ,Th 12:00-13:00"
815,FIBER OPTIC COMPONENTS AND DEVICES-PYL891,TWF 08:00-09:00
816,PHYSICS LABORATORY-PYP100,
817,ENGG. PHYSICS LABORATORY II-PYP212,
818,ENGINEERING PHYSICS LABORATORY-IV-PYP224,
819,LABORATORY II-PYP562,
820,SOLID STATE MATERIALS LABORATORY-II-PYP702,
821,ADVANCED OPTICS LABORATORY-PYP762,
822,ADVANCED OPTICAL WORKSHOP-PYP764,
823,SEMINAR COURSE - II-PYQ302,
824,MINI PROJECT IN ARTIFICIAL INTELLIGENCE-AID710,
825,MINOR PROJECT-AID799,
826,M.TECH. PROJECT PART-I-AID891,
827,M.TECH. PROJECT PART-II-AID892,
828,MS RESEARCH PROJECT-AID895,
829,DEEP LEARNING-AIL721,"W 12:00-13:00 ,TF 17:00-18:00"
830,SPECIAL TOPICS IN MACHINE LEARNING-AIL821,TF 14:00-15:30
831,SPECIAL TOPICS IN APPLICATIONS -AIL861,MTh 15:30-17:00
832,SPECIAL TOPICS IN COMPUTER VISION -AIL862,MTh 14:00-15:30
833,INDEPENDENT STUDY IN ARTIFICIAL INTELLIGENCE-AIS710,
834,ETHICAL CONSIDERATIONS IN MINDS-AIV790,
835,GRADUATE STUDENT SEMINAR-II-SBC796,
836,MINI PROJECT-SBD301,
837,MS RESEARCH PROJECT-SBD895,
838,INTRO. TO BIOLOGY FOR ENGINEER-SBL100,TWF 08:00-09:00
839,HIGH-DIMENSIONAL BIOLOGY-SBL201,TThF 11:00-12:00
840,COMPUTATIONAL BIOLOGY AND DATA ANALYSES-SBL600,TThF 11:00-12:00
841,GENETIC ENGINEERING AND BIOTECHNOLOGY-SBL610,MTh 15:30-17:00
842,IMMUNOBIOLOGY-SBL620,MTh 17:00-18:30
843,ADVANCED CELLULAR BIOLOGY-SBL630,TF 15:30-17:00
844,BIOLOGICAL PATHWAYS-SBL640,TF 14:00-15:30
845,BIOMETRY-SBL701,MTh 17:00-18:30
846,HUMAN VIROLOGY-SBL704,TWF 10:00-11:00
847,BIOLOGY OF PROTEINS-SBL705,MTh 09:30-11:00
848,CELL SIGNALING-SBL711,MTh 17:00-18:30
849,GENOME AND HEALTHCARE-SBL720,TWF 09:00-10:00
850,TECHNIQUES IN BIOMOLECULAR INTERACTIONS-SBL721,"MW 11:00-12:00 ,Th 12:00-13:00"
851,PRINCIPLES OF NEURAL EXCITABILITY AND COMMUNICATION-SBL723,MTF 12:00-13:00
852,MODERN TRENDS IN DRUG DEVELOPMENT-SBL730,TThF 11:00-12:00
853,INTRODUCTION TO PRACTICAL MODERN BIOLOGY-SBP200,
854,INDEPENDENT STUDY-SBS800,
855,INTELLECTUAL PROPERTY RIGHTS IN BIOSCIENCES-SBV601,TWF 08:00-09:00
856,BIOLOGICAL MEMBRANES-SBV882,"W 12:00-13:00 ,TF 17:00-18:00"
857,CURRENT METHODS IN MAMMALIAN GENETICS-SBV894,TF 15:30-17:00
858,DEVELOPMENT BIOLOGY-SBV895,MTF 12:00-13:00
859,TECHNIQUES IN MAMMALIAN CELL CULTURE-SBV898,"W 12:00-13:00 ,TF 17:00-18:00"
860,MS RESEARCH PROJECT-SID890,
861,NETWORKS & SYSTEM SECURITY-SIL765,TWF 10:00-11:00
862,SPECIAL TOPICS IN CYBER SECURITY-SIL771,MTh 15:30-17:00
863,BIOMETRIC SECURITY-SIL775,MTh 08:00-09:30
864,SPECIAL MODULE ON EGOVERNANCE-SIV851,
865,MPP MAJOR PROJECT - I-SPD881,
866,MPP MAJOR PROJECT-II-SPD882,
867,RESEARCH METHODS FOR PUBLIC POLICY-SPL703,MTh 08:00-09:30
868,PUBLIC INSTITUTIONS IN INDIA: THEORY AND PRACTICE-SPL705,MTh 09:30-11:00
869,TOOLS FOR POLICY ANALYSIS-SPL707,MTh 17:00-18:30
870,MODELLING COMPLEX ADAPTIVE SYSTEMS FOR POLICY ANALYSIS-SPL711,TF 15:30-17:00
871,COMPARATIVE INDUSTRIAL POLICY-SPL712,"MW 11:00-12:00 ,Th 12:00-13:00"
872,UNDERSTANDING PUBLIC POLICY MAKING THROUGH CASE STUDIES-SPL723,TF 15:30-17:00
873,CAUSAL INFERENCE AND IMPACT ASSESSMENT-SPL740,TWF 09:00-10:00
874,TECHS AND THE CITY - AN URBAN POLICY PERSPECTIVE-SPL752,MTh 15:30-17:00
875,URBAN PLANNING PRACTICUM-SPL753,
876,ADVANCED TOPICS IN POLICY STUDIES (SYSTEMS THINKING)-SPL810B,MTh 14:00-15:30
877,INCLUSIVE CITY AND ACCESSIBILITY AUDIT-SPV792,TF 14:00-15:30
878,SPECIAL MODULE ON PUBLIC POLICY IN MANAGEMENT OF NATURAL RESOURCES-SPV793,MTh 15:30-17:00
879,"SPECIAL MODULE ON PUBLIC POLICY IN DATA, COMMUNICATION AND COMPUTATION-SPV794",MTh 14:00-15:30
880,MAJOR PROJECT PART-II-DSD802,
881,MAJOR PROJECT (MSR)-DSD895,
882,ELECTRONIC TECH. FOR SIGNAL CONDITIONING & INTERFA-DSL712,TWF 10:00-11:00
883,INSTRUMENT DESIGN AND SIMULATIONS-DSL714,MTF 12:00-13:00
884,OPTICAL MATERIALS & OPTICAL TE-DSL733,MTh 09:30-11:00
885,LASER BASED INSTRUMENTATION-DSL734,"MW 11:00-12:00 ,Th 12:00-13:00"
886,SENSING AND IMAGING TECHNIQUES-DSL755,
887,SELECTED TOPICS IN INSTRUMENTATION-I-DSL811,MTh 17:00-18:30
888,INSTRUMENT TECHNOLOGY LABORATORY-II-DSP704,
889,MAJOR PROJECT PART I-TXD401,
890,MAJOR PROJECT PART II-TXD402,
891,MAJOR PROJECT PART-I (TXE)-TXD801,
892,MAJOR PROJECT PART-I (TXF)-TXD802,
893,MAJOR PROJECT PART II-TXD803,
894,MAJOR PROJECT PART II-TXD804,
895,MAJOR PROJECT PART II (TCP)-TXD806,
896,STRUCTURE AND PHYSICAL PROPERTIES OF FIBRES-TXL211,TWF 09:00-10:00
897,YARN MANUFACTURE I-TXL221,TWF 10:00-11:00
898,FABRIC MANUFACTURE I-TXL231,MTh 09:30-11:00
899,TECH. OF TEXT. PREPARATION & F-TXL241,TThF 11:00-12:00
900,EVALUATION OF TEXTILE MATERIAL-TXL361,TWF 09:00-10:00
901,THEORY OF TEXTILE STRUCTURES-TXL371,TWF 08:00-09:00
902,SPECIALITY YARNS AND FABRICS-TXL372,"MW 11:00-12:00 ,Th 12:00-13:00"
903,BASICS OF TEXTILES-TXL601,
904,ADVANCED MATERIALS CHARACTERIZATION TECHNIQUES-TXL714,
905,TECHNOLOGY OF SOLUTION SPUN FIBRES-TXL715,MTh 09:30-11:00
906,MECHANICS OF SPINNING MACHINES-TXL725,MTh 08:00-09:30
907,SC. & APP. OF NANOTEC. IN TEX.-TXL740,TWF 10:00-11:00
908,ADVANCES IN FINISHING OF TEXTILES-TXL748,TThF 11:00-12:00
909,SUSTAINABLE CHEMICAL PROCESSING OF TEXTILES-TXL754,MTh 09:30-11:00
910,TEXTILE AUXILIARIES-TXL756,TWF 09:00-10:00
911,DE. & MANUF. OF TEXT. STR. CO.-TXL766,MTh 09:30-11:00
912,ELECTRONICS AND CONTROLS FOR TEXTILEINDUSTRY-TXL771,MTF 12:00-13:00
913,MEDICAL TEXTILES-TXL773,"MW 11:00-12:00 ,Th 12:00-13:00"
914,TECHNICAL TEXTILES-TXL775,MTh 09:30-11:00
915,PRODUCTION & OPERATIONS MGMT-TXL782,MTF 12:00-13:00
916,DESIGN OF EXPER. & STAT. TECH.-TXL783,TWF 10:00-11:00
917,TECHNOLOGY OF TEXTILE COATING AND LAMINATION-TXL786,TThF 11:00-12:00
918,MANUFACTURED FIBRE TECHNO. LAB-TXP212,
919,YARN MANUFACTURE LABORATORYI-TXP221,
920,FABRIC MANUFACTURE LAB. - I-TXP231,
921,TECH. OF TEX. PRE. & FIN. LAB.-TXP241,
922,EVALUATION OF TEXTILES LAB-TXP361,
923,FIBRE PRODUCTION AND POST SPINNING OPERATION LABORATORY-TXP716,
924,MECHANICS OF SPINNING MACHINES LAB-TXP725,
925,TEXTILE PREPARATION AND FINISHING LAB-TXP748,
926,EVALUATION OF TEXTILE MATERIALS-TXP761,
927,SEMINAR COURSE 2-TXQ302,
928,"SUSTAINABLE TEXTILE PRACTICES, INNOVATIONS AND OPPORTUNITIES-TXV708",
929,MS RESEARCH PROJECT-TRD895,
930,MATHEMATICAL METHODS IN ROAD SAFETY-TRL700,MTh 15:30-17:00
931,TRANSPORTATION SAFETY AND INJURY PREVENTION PRINCIPLES-TRL701,"W 12:00-13:00 ,TF 17:00-18:00"
932,TRANSPORT AND HEALTH-TRL702,"MW 11:00-12:00 ,Th 12:00-13:00"
933,TRANSPORT PLANNING FOR SUSTAINABLE CITIES-TRL710,MTh 09:30-11:00
934,SPECIAL TOPICS IN MOBILITY AND TRAFFIC SAFETY-TRL851C,MTh 08:00-09:30
935,SAFETY & EMISSION IMPACT ASSESSMENT FOR ROAD INFRASTRUCTURE-TRV752,
936,NET ZERO TRANSPORTATION-TRV753,MTF 12:00-13:00
937,EPIDEMIOLOGY METHODS IN TRAFFIC INJURY PREVENTION-TRV754,MTF 12:00-13:00
938,SUSTAINABLE AND RESILIENT HILL-ROAD INFRASTRUCTURE-TRV762,MTh 17:00-18:30
939,HILL ROAD SAFETY - CRASH BARRIER SYSTEMS-TRV763,MTh 17:00-18:30
940,ROLE OF PLANNING IN SUSTAINABLE AND RESILIENT LARGE-SCALE INFRASTRUCTURE-TRV765,MTh 17:00-18:30
941,HILL ROAD SAFETY - SLOPE STABILITY-TRV766,MTh 17:00-18:30
